Data: ['10.130.2.1', '15/Dec/2017:08:47:56', 'GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1', '200', '545.32'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966258478116262858798621786130', 'ResponseMetadata': {'RequestId': 'fc93088d-357c-02c2-a815-14085c80cdd6', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fc93088d-357c-02c2-a815-14085c80cdd6', 'x-amz-id-2': 'KZQ3tjL7ZEtZCx8NKdxKwyoGhmZiKZxWBvdlXLAAHsWW8SHL5HmjOA6D6Ne8zcae2GBVyEceeYqwF7WJGydNT5vKfS3ozJ3/', 'date': 'Sat, 8 Dec 2018 19:23:49 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:47:56', 'GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1', '200', '441.73'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343118151323809825066290511874', 'ResponseMetadata': {'RequestId': 'ce6cd613-85e9-92af-9aea-ca96ec155dbb', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ce6cd613-85e9-92af-9aea-ca96ec155dbb', 'x-amz-id-2': 'XIQZZccQ+KJp7D+GBOGrjm9G6vAj662UuB3e6pSLgSqT3WB27DVOvHHaWIM772OIDy9OttFGo0fBVdNe0x5FfUyswputCufD', 'date': 'Sat, 8 Dec 2018 19:23:49 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.130.2.1', '15/Dec/2017:08:47:57', 'GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1', '200', '172.07'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343119360249629439764184694786', 'ResponseMetadata': {'RequestId': 'c4be76d3-b8be-35bc-9038-6a54d142faa8', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c4be76d3-b8be-35bc-9038-6a54d142faa8', 'x-amz-id-2': 'kRTbpnsR54IZsmRzbgv1NG7VkMiiUqXjor2uDe2m3+HOkOpGPzy4jUlC3uvewg3pzEt+QgFVsIevy8HQ5f9JG70K+fcOdGGw', 'date': 'Sat, 8 Dec 2018 19:23:51 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.130.2.1', '15/Dec/2017:08:47:58', 'GET /img/ruet.png HTTP/1.1', '200', '104.89'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343120569175449054530798354434', 'ResponseMetadata': {'RequestId': 'fc303142-112b-2a2a-a8b6-2dca78d7e53e', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fc303142-112b-2a2a-a8b6-2dca78d7e53e', 'x-amz-id-2': 'moU9eN21zmqtmNOgBPlj6Pkvuw77PoOQTAaVFvKFzPKYQokmrVqW0ceWu0Jf82PQPx1KPcoW4/T6CeST3Kh0rHCn+fjsyHlo', 'date': 'Sat, 8 Dec 2018 19:23:52 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.130.2.1', '15/Dec/2017:08:48:07', 'GET /login.php HTTP/1.1', '200', '125.18'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343121778101268669228692537346', 'ResponseMetadata': {'RequestId': 'f955c6b3-7b85-98d2-add3-da3b127957c6', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f955c6b3-7b85-98d2-add3-da3b127957c6', 'x-amz-id-2': 'GoWRy38BC22+onAqTXTO8pa2oLjOA7SfwFii0aZd8+eTj0guSD8cruRiunYtdaw8TJFYm14zo0KtEvs54q7mELJ4N7cKN+V2', 'date': 'Sat, 8 Dec 2018 19:23:52 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:54:52', 'GET /home.php HTTP/1.1', '302', '364.43'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966264522745360932219373223954', 'ResponseMetadata': {'RequestId': 'c0fd0b0d-abdd-7908-947b-1785c221b61c', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c0fd0b0d-abdd-7908-947b-1785c221b61c', 'x-amz-id-2': 'KvK9uhKxeV2cOengAsqM6YLOq7Nu6eMNhBgl48qNjuttOXn21zVGSp+K6uYa/xMlyUeBw0s68NUUDcGCuwE2ZNsaSVZKp0Cu', 'date': 'Sat, 8 Dec 2018 19:23:52 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:54:53', 'GET /login.php HTTP/1.1', '200', '228.37'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343124195952907898555761426434', 'ResponseMetadata': {'RequestId': 'c2fe8471-33a9-bffc-9678-98f85a5570e8', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c2fe8471-33a9-bffc-9678-98f85a5570e8', 'x-amz-id-2': 'rG0ytNTkNXs1D4de2bopWLKvNq99uC5mwuGTRZyJVMAqQlD0nIYxAgFKoSfaSCbx30AGI4kxWY68QqpJw0jZA4O/oDQrOEBo', 'date': 'Sat, 8 Dec 2018 19:23:53 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:54:55', 'GET /sign.php HTTP/1.1', '200', '325.26'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966266940597000161615161589778', 'ResponseMetadata': {'RequestId': 'c04d1cf1-b9a8-46aa-94cb-007bd05489be', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c04d1cf1-b9a8-46aa-94cb-007bd05489be', 'x-amz-id-2': 'DA0LKan+uqC+2VNHayfEUnG678WV4gs+szkb+BDSqpCJ7kKhNGQl4RSuDn/AcjDu3S2Imeu5eQJiK+sTLEmoKQ/68GElX6GI', 'date': 'Sat, 8 Dec 2018 19:23:54 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:55:01', 'POST /action.php HTTP/1.1', '302', '606.19'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343126613804547127951549792258', 'ResponseMetadata': {'RequestId': 'd72f3ccc-8c28-e12c-83a9-2047e5d42e38', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd72f3ccc-8c28-e12c-83a9-2047e5d42e38', 'x-amz-id-2': '7UCUxpZa5MyQkudmsCRHNPXFyeMD5C1PUdxq3Mz4L55/YudNPQ9kUpnWZLD5EHTwQCqAHpkvhSdLHV4SJ+fyggBh+cGdId0L', 'date': 'Sat, 8 Dec 2018 19:23:55 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:55:02', 'GET /login.php HTTP/1.1', '200', '119.04'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343127822730366742649443975170', 'ResponseMetadata': {'RequestId': 'd4cc6cbf-3130-f1c7-804a-703258cc3ed3', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd4cc6cbf-3130-f1c7-804a-703258cc3ed3', 'x-amz-id-2': 'D/4S8u/CkukR9T93+Gymb04yPQoqbBoGwaEZeNP+m+j3fzrqkA9YfOpuVKHlB8WoS0lmwocaY+PmPb1MZXzKkWKhwUEM8QaP', 'date': 'Sat, 8 Dec 2018 19:23:57 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
